# ta-tb(ns)	counts	error
-3828726.812500	1	1.000000
-3828726.687500	0	0.000000
-3828726.562500	0	0.000000
-3828726.437500	1	1.000000
-3828726.312500	0	0.000000
-3828726.187500	1	1.000000
-3828726.062500	1	1.000000
-3828725.937500	0	0.000000
-3828725.812500	0	0.000000
-3828725.687500	2	1.414214
-3828725.562500	0	0.000000
-3828725.437500	0	0.000000
-3828725.312500	0	0.000000
-3828725.187500	1	1.000000
-3828725.062500	0	0.000000
-3828724.937500	0	0.000000
-3828724.812500	0	0.000000
-3828724.687500	0	0.000000
-3828724.562500	0	0.000000
-3828724.437500	0	0.000000
-3828724.312500	0	0.000000
-3828724.187500	0	0.000000
-3828724.062500	0	0.000000
-3828723.937500	0	0.000000
-3828723.812500	1	1.000000
-3828723.687500	0	0.000000
-3828723.562500	0	0.000000
-3828723.437500	0	0.000000
-3828723.312500	0	0.000000
-3828723.187500	0	0.000000
-3828723.062500	0	0.000000
-3828722.937500	1	1.000000
-3828722.812500	0	0.000000
-3828722.687500	0	0.000000
-3828722.562500	0	0.000000
-3828722.437500	0	0.000000
-3828722.312500	0	0.000000
-3828722.187500	0	0.000000
-3828722.062500	0	0.000000
-3828721.937500	0	0.000000
-3828721.812500	0	0.000000
-3828721.687500	0	0.000000
-3828721.562500	0	0.000000
-3828721.437500	0	0.000000
-3828721.312500	1	1.000000
-3828721.187500	0	0.000000
-3828721.062500	0	0.000000
-3828720.937500	1	1.000000
-3828720.812500	0	0.000000
-3828720.687500	0	0.000000
-3828720.562500	1	1.000000
-3828720.437500	0	0.000000
-3828720.312500	0	0.000000
-3828720.187500	0	0.000000
-3828720.062500	0	0.000000
-3828719.937500	0	0.000000
-3828719.812500	0	0.000000
-3828719.687500	0	0.000000
-3828719.562500	0	0.000000
-3828719.437500	0	0.000000
-3828719.312500	0	0.000000
-3828719.187500	0	0.000000
-3828719.062500	0	0.000000
-3828718.937500	0	0.000000
-3828718.812500	1	1.000000
-3828718.687500	0	0.000000
-3828718.562500	0	0.000000
-3828718.437500	0	0.000000
-3828718.312500	1	1.000000
-3828718.187500	1	1.000000
-3828718.062500	0	0.000000
-3828717.937500	0	0.000000
-3828717.812500	0	0.000000
-3828717.687500	0	0.000000
-3828717.562500	0	0.000000
-3828717.437500	0	0.000000
-3828717.312500	1	1.000000
-3828717.187500	1	1.000000
-3828717.062500	0	0.000000
-3828716.937500	0	0.000000
-3828716.812500	0	0.000000
-3828716.687500	0	0.000000
-3828716.562500	1	1.000000
-3828716.437500	2	1.414214
-3828716.312500	0	0.000000
-3828716.187500	0	0.000000
-3828716.062500	0	0.000000
-3828715.937500	0	0.000000
-3828715.812500	0	0.000000
-3828715.687500	0	0.000000
-3828715.562500	1	1.000000
-3828715.437500	0	0.000000
-3828715.312500	0	0.000000
-3828715.187500	0	0.000000
-3828715.062500	0	0.000000
-3828714.937500	0	0.000000
-3828714.812500	0	0.000000
-3828714.687500	0	0.000000
-3828714.562500	0	0.000000
-3828714.437500	1	1.000000
-3828714.312500	0	0.000000
-3828714.187500	0	0.000000
-3828714.062500	0	0.000000
-3828713.937500	0	0.000000
-3828713.812500	0	0.000000
-3828713.687500	1	1.000000
-3828713.562500	0	0.000000
-3828713.437500	1	1.000000
-3828713.312500	0	0.000000
-3828713.187500	0	0.000000
-3828713.062500	2	1.414214
-3828712.937500	0	0.000000
-3828712.812500	0	0.000000
-3828712.687500	0	0.000000
-3828712.562500	0	0.000000
-3828712.437500	1	1.000000
-3828712.312500	0	0.000000
-3828712.187500	0	0.000000
-3828712.062500	0	0.000000
-3828711.937500	0	0.000000
-3828711.812500	0	0.000000
-3828711.687500	0	0.000000
-3828711.562500	0	0.000000
-3828711.437500	0	0.000000
-3828711.312500	0	0.000000
-3828711.187500	1	1.000000
-3828711.062500	0	0.000000
-3828710.937500	0	0.000000
-3828710.812500	0	0.000000
-3828710.687500	0	0.000000
-3828710.562500	0	0.000000
-3828710.437500	0	0.000000
-3828710.312500	0	0.000000
-3828710.187500	0	0.000000
-3828710.062500	0	0.000000
-3828709.937500	0	0.000000
-3828709.812500	0	0.000000
-3828709.687500	0	0.000000
-3828709.562500	0	0.000000
-3828709.437500	0	0.000000
-3828709.312500	0	0.000000
-3828709.187500	0	0.000000
-3828709.062500	1	1.000000
-3828708.937500	1	1.000000
-3828708.812500	0	0.000000
-3828708.687500	1	1.000000
-3828708.562500	0	0.000000
-3828708.437500	0	0.000000
-3828708.312500	0	0.000000
-3828708.187500	1	1.000000
-3828708.062500	1	1.000000
-3828707.937500	0	0.000000
-3828707.812500	0	0.000000
-3828707.687500	0	0.000000
-3828707.562500	0	0.000000
-3828707.437500	0	0.000000
-3828707.312500	0	0.000000
-3828707.187500	1	1.000000
-3828707.062500	0	0.000000
-3828706.937500	0	0.000000
-3828706.812500	0	0.000000
-3828706.687500	0	0.000000
-3828706.562500	0	0.000000
-3828706.437500	0	0.000000
-3828706.312500	1	1.000000
